YYYY-MM-DD-HH:MM:SS;FT0101[l/m];FT0401[m3/h];PT0101[Bar];PT0102[Bar];PT0201[Bar];PT0202[Bar];PT0301[Bar];PT0302[Bar];PT0303[Bar];CV0201[%];PT0203[Bar];PT0301[Bar];act_mode3;act_mode1;act_mode4;p;t_w[K];speed[RPM];outlet_pressure[Bar];p_lo_min[W];p_lo_max[W];DBB_ANTI_CYCLING_TRI;DBB_ANTI_CYCLING_TIM;equal_period_count;time_in_stop;last_time_in_stop;speed_avedev;M2_warning_out;M2_alarm_out;M2_reset_out;M2_cntCycles;M2_pumpToff;M2_pumpToffAvg;M2_pumpToffVar;M2_algState;M3_warning_out;M3_alarm_out;M3_reset_out;M3_cumVol;M3_edgeType;M3_edgeDetectionStat;M3_maxVol_warning;M3_maxVol_alarm;M3_Tevent;M2_cumVol;M3_qAvg;pump_output_control_;M2_plumbingCheck_cnt;M2_plumbingCheck_cnt;M2_plumbingCheck_cnt;M2_plumbingCheck_dpd;M2_PlumbingCheck_fla;M2_PlumbingWarning;FT0106;PT0106;FT0103;FT0104;FT0105;PV0106;SC0401;M2_stp_alg
2023-10-25 08:15:24:400;0.02; 0.00; 0.000; 0.46; 0.39; 0.38; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 16.00; 0.00; 0.00; 46.000; 294.04; 1945.00; 0.475; 0.00; 571.00; 40.00; 5.00; 1.00; 255.00; 58.00; 250.00; 0.00; 0.00; 0.00; 1.00; 260.80; 466.53; 428010.56; 3.00; 0.00; 0.00; 0.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 0.09; 0.00; 23.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 0.47; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-10-25 08:15:24:520;0.02; 0.00; 0.000; 0.46; 0.39; 0.38; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 16.00; 0.00; 0.00; 46.000; 294.04; 1945.00; 0.475; 0.00; 571.00; 40.00; 5.00; 1.00; 255.00; 58.00; 250.00; 0.00; 0.00; 0.00; 1.00; 260.80; 466.53; 428010.56; 3.00; 0.00; 0.00; 0.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 0.09; 0.00; 23.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 0.47; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-10-25 08:15:24:640;0.02; 0.00; 0.000; 0.46; 0.39; 0.38; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 16.00; 0.00; 0.00; 46.000; 294.06; 1945.00; 0.476; 0.00; 571.00; 40.00; 5.00; 1.00; 255.00; 58.00; 250.00; 0.00; 0.00; 0.00; 1.00; 260.80; 466.53; 428010.56; 3.00; 0.00; 0.00; 0.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 0.09; 0.00; 23.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 0.47; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-10-25 08:15:24:760;0.03; 0.00; 0.000; 0.46; 0.39; 0.38; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 16.00; 0.00; 0.00; 46.000; 294.06; 1945.00; 0.479; 0.00; 571.00; 40.00; 5.00; 1.00; 255.00; 58.00; 250.00; 0.00; 0.00; 0.00; 1.00; 260.80; 466.53; 428010.56; 3.00; 0.00; 0.00; 0.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 0.09; 0.00; 23.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 0.47; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-10-25 08:15:24:880;0.05; 0.00; 0.000; 0.46; 0.39; 0.38; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 16.00; 0.00; 0.00; 47.000; 294.06; 1945.00; 0.479; 0.00; 571.00; 40.00; 5.00; 1.00; 255.00; 58.00; 250.00; 0.00; 0.00; 0.00; 1.00; 260.80; 466.53; 428010.56; 3.00; 0.00; 0.00; 0.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 0.09; 0.00; 23.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 0.47; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-10-25 08:15:25:000;0.06; 0.00; 0.000; 0.46; 0.39; 0.38; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 16.00; 0.00; 0.00; 47.000; 294.06; 1945.00; 0.479; 0.00; 571.00; 40.00; 5.00; 1.00; 255.00; 58.00; 250.00; 0.00; 0.00; 0.00; 1.00; 260.80; 466.53; 428010.56; 3.00; 0.00; 0.00; 0.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 0.09; 0.00; 23.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 0.47; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-10-25 08:15:25:120;0.06; 0.00; 0.000; 0.46; 0.39; 0.38; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 16.00; 0.00; 0.00; 47.000; 294.06; 1945.00; 0.479; 0.00; 571.00; 40.00; 5.00; 1.00; 255.00; 58.00; 250.00; 0.00; 0.00; 0.00; 1.00; 260.80; 466.53; 428010.56; 3.00; 0.00; 0.00; 0.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 0.09; 0.00; 23.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 0.48; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-10-25 08:15:25:240;0.05; 0.00; 0.000; 0.46; 0.39; 0.39; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 16.00; 0.00; 0.00; 47.000; 294.04; 1945.00; 0.480; 0.00; 571.00; 40.00; 5.00; 1.00; 255.00; 58.00; 250.00; 0.00; 0.00; 0.00; 1.00; 260.80; 466.53; 428010.56; 3.00; 0.00; 0.00; 0.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 0.09; 0.00; 23.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 0.48; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-10-25 08:15:25:360;0.05; 0.00; 0.000; 0.46; 0.39; 0.39; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 16.00; 0.00; 0.00; 47.000; 294.04; 1945.00; 0.480; 0.00; 571.00; 40.00; 5.00; 1.00; 255.00; 58.00; 250.00; 0.00; 0.00; 0.00; 1.00; 260.80; 466.53; 428010.56; 3.00; 0.00; 0.00; 0.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 0.09; 0.00; 23.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 0.48; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-10-25 08:15:25:480;0.04; 0.00; 0.000; 0.46; 0.39; 0.39; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 16.00; 0.00; 0.00; 47.000; 294.04; 1945.00; 0.480; 0.00; 571.00; 40.00; 5.00; 1.00; 255.00; 58.00; 250.00; 0.00; 0.00; 0.00; 1.00; 260.80; 466.53; 428010.56; 3.00; 0.00; 0.00; 0.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 0.09; 0.00; 23.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 0.48; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
