YYYY-MM-DD-HH:MM:SS;FT0101[l/m];FT0401[m3/h];PT0101[Bar];PT0102[Bar];PT0201[Bar];PT0202[Bar];PT0301[Bar];PT0302[Bar];PT0303[Bar];CV0201[%];CV0202[%];PT0203[Bar];PT0301[Bar];act_mode3;act_mode1;act_mode4;p;t_w[K];speed[RPM];outlet_pressure[Bar];p_lo_min[W];p_lo_max[W];DBB_ANTI_CYCLING_TRI;DBB_ANTI_CYCLING_TIM;equal_period_count;time_in_stop;last_time_in_stop;speed_avedev;M2_warning_out;M2_alarm_out;M2_reset_out;M2_cntCycles;M2_pumpToff;M2_pumpToffAvg;M2_pumpToffVar;M2_algState;M3_warning_out;M3_alarm_out;M3_reset_out;M3_cumVol;M3_edgeType;M3_edgeDetectionStat;M3_maxVol_warning;M3_maxVol_alarm;M3_Tevent;M2_cumVol;M3_qAvg;pump_output_control_;M2_plumbingCheck_cnt;M2_plumbingCheck_cnt;M2_plumbingCheck_cnt;M2_plumbingCheck_dpd;M2_PlumbingCheck_fla;M2_PlumbingWarning;FT0106;PT0106;FT0103;FT0104;FT0105;PV0106;SC0401;M2_stp_alg
2023-11-01 12:15:02:950;7.22; 0.00; 0.000; 3.90; 3.80; 3.67; 0.00; 0.00; 0.00; 0.00; 0.00; 3.79; 0.00; 16.00; 0.00; 0.00; 370.000; 292.51; 5016.00; 4.033; 0.00; 65535.00; 40.00; 5.00; 20.00; 255.00; 25.00; 51.00; 0.00; 0.00; 0.00; 2.00; 20.00; 24.35; 32.17; 3.00; 0.00; 0.00; 0.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 346.46; 0.00; 23.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.91; 0.00; 333.33; 7.50; 1.00; 1.00; 5.00
2023-11-01 12:15:03:070;7.23; 0.00; 0.000; 3.89; 3.78; 3.66; 0.00; 0.00; 0.00; 0.00; 0.00; 3.78; 0.00; 16.00; 0.00; 0.00; 370.000; 292.51; 5016.00; 4.033; 0.00; 65535.00; 40.00; 5.00; 20.00; 255.00; 25.00; 51.00; 0.00; 0.00; 0.00; 2.00; 20.00; 24.35; 32.17; 3.00; 0.00; 0.00; 0.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 346.46; 0.00; 23.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.92; 0.00; 333.33; 7.50; 1.00; 1.00; 5.00
2023-11-01 12:15:03:190;7.24; 0.00; 0.000; 3.90; 3.79; 3.65; 0.00; 0.00; 0.00; 0.00; 0.00; 3.78; 0.00; 16.00; 0.00; 0.00; 370.000; 292.51; 5039.00; 4.027; 0.00; 65535.00; 40.00; 5.00; 20.00; 255.00; 25.00; 56.00; 0.00; 0.00; 0.00; 2.00; 20.00; 24.35; 32.17; 3.00; 0.00; 0.00; 0.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 346.46; 0.00; 23.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.91; 0.00; 333.33; 7.50; 1.00; 1.00; 5.00
2023-11-01 12:15:03:310;7.25; 0.00; 0.000; 3.89; 3.78; 3.66; 0.00; 0.00; 0.00; 0.00; 0.00; 3.78; 0.00; 16.00; 0.00; 0.00; 370.000; 292.51; 5039.00; 4.027; 0.00; 65535.00; 40.00; 5.00; 20.00; 255.00; 25.00; 56.00; 0.00; 0.00; 0.00; 2.00; 20.00; 24.35; 32.17; 3.00; 0.00; 0.00; 0.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 346.46; 0.00; 23.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.91; 0.00; 333.33; 7.50; 1.00; 1.00; 5.00
2023-11-01 12:15:03:430;7.27; 0.00; 0.000; 3.90; 3.79; 3.66; 0.00; 0.00; 0.00; 0.00; 0.00; 3.78; 0.00; 16.00; 0.00; 0.00; 370.000; 292.51; 5039.00; 4.027; 0.00; 65535.00; 40.00; 5.00; 20.00; 255.00; 25.00; 56.00; 0.00; 0.00; 0.00; 2.00; 20.00; 24.35; 32.17; 3.00; 0.00; 0.00; 0.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 346.46; 0.00; 23.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.91; 0.00; 333.33; 7.50; 1.00; 1.00; 5.00
2023-11-01 12:15:03:550;7.28; 0.00; 0.000; 3.89; 3.78; 3.66; 0.00; 0.00; 0.00; 0.00; 0.00; 3.77; 0.00; 16.00; 0.00; 0.00; 370.000; 292.51; 5039.00; 4.027; 0.00; 65535.00; 40.00; 5.00; 20.00; 255.00; 25.00; 56.00; 0.00; 0.00; 0.00; 2.00; 20.00; 24.35; 32.17; 3.00; 0.00; 0.00; 0.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 346.46; 0.00; 23.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.91; 0.00; 333.33; 7.50; 1.00; 1.00; 5.00
2023-11-01 12:15:03:670;7.30; 0.00; 0.000; 3.90; 3.78; 3.65; 0.00; 0.00; 0.00; 0.00; 0.00; 3.78; 0.00; 16.00; 0.00; 0.00; 370.000; 292.49; 4992.00; 4.018; 0.00; 65535.00; 40.00; 5.00; 20.00; 255.00; 25.00; 86.00; 0.00; 0.00; 0.00; 2.00; 20.00; 24.35; 32.17; 3.00; 0.00; 0.00; 0.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 346.58; 0.00; 23.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.91; 0.00; 333.33; 7.50; 1.00; 1.00; 5.00
2023-11-01 12:15:03:790;7.32; 0.00; 0.000; 3.89; 3.78; 3.66; 0.00; 0.00; 0.00; 0.00; 0.00; 3.78; 0.00; 16.00; 0.00; 0.00; 370.000; 292.49; 4992.00; 4.018; 0.00; 65535.00; 40.00; 5.00; 20.00; 255.00; 25.00; 86.00; 0.00; 0.00; 0.00; 2.00; 20.00; 24.35; 32.17; 3.00; 0.00; 0.00; 0.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 346.58; 0.00; 23.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.91; 0.00; 333.33; 7.50; 1.00; 1.00; 5.00
2023-11-01 12:15:03:910;7.32; 0.00; 0.000; 3.89; 3.78; 3.65; 0.00; 0.00; 0.00; 0.00; 0.00; 3.78; 0.00; 16.00; 0.00; 0.00; 370.000; 292.49; 4992.00; 4.018; 0.00; 65535.00; 40.00; 5.00; 20.00; 255.00; 25.00; 86.00; 0.00; 0.00; 0.00; 2.00; 20.00; 24.35; 32.17; 3.00; 0.00; 0.00; 0.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 346.58; 0.00; 23.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.91; 0.00; 333.33; 7.50; 1.00; 1.00; 5.00
2023-11-01 12:15:04:030;7.33; 0.00; 0.000; 3.89; 3.78; 3.65; 0.00; 0.00; 0.00; 0.00; 0.00; 3.77; 0.00; 16.00; 0.00; 0.00; 370.000; 292.49; 5016.00; 4.016; 0.00; 65535.00; 40.00; 5.00; 20.00; 255.00; 25.00; 102.00; 0.00; 0.00; 0.00; 2.00; 20.00; 24.35; 32.17; 3.00; 0.00; 0.00; 0.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 346.58; 0.00; 23.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.91; 0.00; 333.33; 7.50; 1.00; 1.00; 5.00
