"Time","act_mode3","act_mode4","pump_output_control_state","act_mode1","M2 state (+10)"
2023-09-18 10:17:45,16,1,21,1,11
2023-09-18 10:17:47,16,1,21,1,11
2023-09-18 10:17:49,16,1,21,1,11
2023-09-18 10:17:51,16,1,21,1,11
2023-09-18 10:17:53,16,1,21,1,11
2023-09-18 10:17:55,16,1,21,1,11
2023-09-18 10:17:57,16,1,21,1,11
2023-09-18 10:17:58,16,1,21,1,11
2023-09-18 10:18:00,16,1,21,1,11
2023-09-18 10:18:01,16,1,21,1,11
2023-09-18 10:18:03,16,1,21,1,11
2023-09-18 10:18:05,16,1,21,1,11
2023-09-18 10:18:07,0,12,18,0,11
2023-09-18 10:18:08,16,1,21,1,11
2023-09-18 10:18:10,16,1,21,1,11
2023-09-18 10:18:12,16,1,21,1,11
2023-09-18 10:18:14,16,1,21,1,11
2023-09-18 10:18:16,16,1,21,1,11
2023-09-18 10:18:17,16,1,21,1,11
2023-09-18 10:18:19,16,1,21,1,11
2023-09-18 10:18:21,16,1,21,1,11
2023-09-18 10:18:22,16,1,21,1,11
2023-09-18 10:18:24,16,1,21,1,11
2023-09-18 10:18:26,16,1,21,1,11
2023-09-18 10:18:28,16,1,21,1,11
2023-09-18 10:18:29,16,1,21,1,11
2023-09-18 10:18:31,16,1,21,1,11
2023-09-18 10:18:33,16,1,21,1,11
2023-09-18 10:18:34,16,1,21,1,11
2023-09-18 10:18:36,16,1,21,1,11
2023-09-18 10:18:38,16,1,21,1,11
2023-09-18 10:18:39,16,1,21,1,11
2023-09-18 10:18:41,16,1,21,1,11
2023-09-18 10:18:43,16,1,21,1,11
2023-09-18 10:18:44,16,1,21,1,11
2023-09-18 10:18:46,16,1,21,1,11
2023-09-18 10:18:47,16,1,21,1,11
2023-09-18 10:18:49,16,1,21,1,11
2023-09-18 10:18:51,16,1,21,1,11
2023-09-18 10:18:52,16,1,21,1,11
2023-09-18 10:18:54,16,1,21,1,11
2023-09-18 10:18:55,16,1,21,1,11
2023-09-18 10:18:57,16,1,21,1,11
2023-09-18 10:18:59,16,1,21,1,11
2023-09-18 10:19:01,16,1,21,1,11
2023-09-18 10:19:03,16,1,21,1,11
2023-09-18 10:19:05,16,1,21,1,11
2023-09-18 10:19:07,16,1,21,1,11
2023-09-18 10:19:08,16,1,21,1,11
2023-09-18 10:19:10,16,1,21,1,11
2023-09-18 10:19:12,16,1,21,1,11
2023-09-18 10:19:14,16,1,21,1,11
2023-09-18 10:19:16,16,1,21,1,11
2023-09-18 10:19:18,16,1,21,1,11
2023-09-18 10:19:19,16,1,21,1,11
2023-09-18 10:19:21,16,1,21,1,11
2023-09-18 10:19:23,16,1,21,1,11
2023-09-18 10:19:26,16,1,21,1,11
2023-09-18 10:19:27,16,1,21,1,11
2023-09-18 10:19:29,16,1,21,1,11
2023-09-18 10:19:31,16,1,21,1,11
2023-09-18 10:19:33,16,1,21,1,11
2023-09-18 10:19:35,16,1,21,1,11
2023-09-18 10:19:36,16,1,21,1,11
2023-09-18 10:19:38,16,1,21,1,11
2023-09-18 10:19:40,16,1,21,1,11
2023-09-18 10:19:42,16,1,21,1,11
2023-09-18 10:19:44,16,1,21,1,11
2023-09-18 10:19:45,16,1,21,1,11
2023-09-18 10:19:47,16,1,21,1,11
2023-09-18 10:19:49,16,1,21,1,11
2023-09-18 10:19:51,16,1,21,1,11
2023-09-18 10:19:53,16,1,21,1,11
2023-09-18 10:19:54,16,1,21,1,11
2023-09-18 10:19:56,16,1,21,1,11
2023-09-18 10:19:58,16,1,21,1,11
2023-09-18 10:20:00,16,1,21,1,11
2023-09-18 10:20:02,16,1,21,1,11
2023-09-18 10:20:04,16,1,21,1,11
2023-09-18 10:20:05,16,1,21,1,11
2023-09-18 10:20:07,16,1,21,1,11
2023-09-18 10:20:09,16,1,21,1,11
2023-09-18 10:20:11,16,1,21,1,11
2023-09-18 10:20:12,16,1,21,1,11
2023-09-18 10:20:14,16,1,21,1,11
2023-09-18 10:20:16,16,1,21,1,11
2023-09-18 10:20:18,16,1,21,1,11
2023-09-18 10:20:20,16,1,21,1,11
2023-09-18 10:20:21,16,1,21,1,11
2023-09-18 10:20:23,16,1,21,1,11
2023-09-18 10:20:25,16,1,21,1,11
2023-09-18 10:20:27,16,1,21,1,11
2023-09-18 10:20:29,16,1,21,1,11
2023-09-18 10:20:31,16,1,21,1,11
2023-09-18 10:20:33,16,1,21,1,11
2023-09-18 10:20:35,16,1,21,1,11
2023-09-18 10:20:37,16,1,21,1,11
2023-09-18 10:20:39,16,1,21,1,11
2023-09-18 10:20:41,16,1,21,1,11
2023-09-18 10:20:43,16,1,21,1,11
2023-09-18 10:20:45,16,1,21,1,11
2023-09-18 10:20:47,16,1,21,1,11
2023-09-18 10:20:49,16,1,21,1,11
2023-09-18 10:20:51,16,1,21,1,11
2023-09-18 10:20:53,16,1,21,1,11
2023-09-18 10:20:55,16,1,21,1,11
2023-09-18 10:20:57,16,1,21,1,11
2023-09-18 10:20:59,16,1,21,1,11
2023-09-18 10:21:01,16,1,21,1,11
2023-09-18 10:21:03,16,1,21,1,11
2023-09-18 10:21:05,16,1,21,1,11
2023-09-18 10:21:07,16,1,21,1,11
2023-09-18 10:21:09,16,1,21,1,11
2023-09-18 10:21:11,16,1,21,1,11
2023-09-18 10:21:13,16,1,21,1,11
2023-09-18 10:21:15,16,1,21,1,11
2023-09-18 10:21:17,16,1,21,1,11
2023-09-18 10:21:19,16,1,21,1,11
2023-09-18 10:21:21,16,1,21,1,11
2023-09-18 10:21:23,16,1,21,1,11
2023-09-18 10:21:24,16,1,21,1,11
2023-09-18 10:21:26,16,1,21,1,11
2023-09-18 10:21:28,16,1,21,1,11
2023-09-18 10:21:29,16,1,21,1,11
2023-09-18 10:21:31,16,1,21,1,11
2023-09-18 10:21:33,16,1,21,1,11
2023-09-18 10:21:34,16,1,21,1,11
2023-09-18 10:21:37,16,1,21,1,11
2023-09-18 10:21:39,16,1,21,1,11
2023-09-18 10:21:40,16,1,21,1,11
2023-09-18 10:21:42,16,1,21,1,11
2023-09-18 10:21:44,16,1,21,1,11
2023-09-18 10:21:46,16,1,21,1,11
2023-09-18 10:21:48,16,1,21,1,11
2023-09-18 10:21:49,16,1,21,1,11
2023-09-18 10:21:51,16,1,21,1,11
2023-09-18 10:21:52,16,1,21,1,11
2023-09-18 10:21:54,16,1,21,1,11
2023-09-18 10:21:56,16,1,21,1,11
2023-09-18 10:21:57,16,1,21,1,11
2023-09-18 10:21:59,16,1,21,1,11
2023-09-18 10:22:00,16,1,21,1,11
2023-09-18 10:22:02,16,1,21,1,11
2023-09-18 10:22:04,16,1,21,1,11
2023-09-18 10:22:06,16,1,21,1,11
2023-09-18 10:22:07,16,1,21,1,11
2023-09-18 10:22:09,16,1,21,1,11
2023-09-18 10:22:11,16,1,21,1,11
2023-09-18 10:22:13,16,1,21,1,11
2023-09-18 10:22:15,16,1,21,1,11
2023-09-18 10:22:16,16,1,21,1,11
2023-09-18 10:22:18,16,1,21,1,11
2023-09-18 10:22:20,16,1,21,1,11
2023-09-18 10:22:22,16,1,21,1,11
2023-09-18 10:22:24,16,1,21,1,11
2023-09-18 10:22:26,16,1,21,1,11
2023-09-18 10:22:28,16,1,21,1,11
2023-09-18 10:22:29,16,1,21,1,11
2023-09-18 10:22:31,16,1,21,1,11
2023-09-18 10:22:33,16,1,21,1,11
2023-09-18 10:22:35,16,1,21,1,11
2023-09-18 10:22:37,16,1,21,1,11
2023-09-18 10:22:39,16,1,21,1,11
2023-09-18 10:22:41,16,1,21,1,11
2023-09-18 10:22:42,16,1,21,1,11
2023-09-18 10:22:44,16,1,21,1,11
2023-09-18 10:22:46,16,1,21,1,11
2023-09-18 10:22:47,16,1,21,1,11
2023-09-18 10:22:49,16,1,21,1,11
2023-09-18 10:22:51,16,1,21,1,11
2023-09-18 10:22:52,16,1,21,1,11
2023-09-18 10:22:54,16,1,21,1,11
2023-09-18 10:22:55,16,1,21,1,11
2023-09-18 10:22:57,16,1,21,1,11
2023-09-18 10:22:59,16,1,21,1,11
2023-09-18 10:23:01,16,1,21,1,11
2023-09-18 10:23:03,16,1,21,1,11
2023-09-18 10:23:04,16,1,21,1,11
2023-09-18 10:23:06,16,1,21,1,11
2023-09-18 10:23:08,16,1,21,1,11
2023-09-18 10:23:10,16,1,21,1,11
2023-09-18 10:23:12,16,1,21,1,11
2023-09-18 10:23:14,16,1,21,1,11
2023-09-18 10:23:15,16,1,21,1,11
2023-09-18 10:23:17,16,1,21,1,11
2023-09-18 10:23:19,16,1,21,1,11
2023-09-18 10:23:21,16,1,21,1,11
2023-09-18 10:23:23,16,1,21,1,11
2023-09-18 10:23:25,16,1,21,1,11
2023-09-18 10:23:26,16,1,21,1,11
2023-09-18 10:23:28,16,1,21,1,11
2023-09-18 10:23:30,16,1,21,1,11
2023-09-18 10:23:31,16,1,21,1,11
2023-09-18 10:23:33,16,1,21,1,11
2023-09-18 10:23:36,16,1,21,1,11
2023-09-18 10:23:37,16,1,21,1,11
2023-09-18 10:23:38,16,1,21,1,11
2023-09-18 10:23:40,16,1,21,1,11
2023-09-18 10:23:42,16,1,21,1,11
2023-09-18 10:23:44,16,1,21,1,11
2023-09-18 10:23:46,16,1,21,1,11
2023-09-18 10:23:47,16,1,21,1,11
2023-09-18 10:23:49,16,1,21,1,11
2023-09-18 10:23:52,16,1,21,1,11
2023-09-18 10:23:53,16,1,21,1,11
2023-09-18 10:23:55,16,1,21,1,11
2023-09-18 10:23:57,16,1,21,1,11
2023-09-18 10:23:58,16,1,21,1,11
2023-09-18 10:24:00,16,1,21,1,11
2023-09-18 10:24:02,16,1,21,1,11
2023-09-18 10:24:03,16,1,21,1,11
2023-09-18 10:24:05,16,1,21,1,11
2023-09-18 10:24:07,16,1,21,1,11
2023-09-18 10:24:09,16,1,21,1,11
2023-09-18 10:24:11,16,1,21,1,11
2023-09-18 10:24:13,16,1,21,1,11
2023-09-18 10:24:15,16,1,21,1,11
2023-09-18 10:24:17,16,1,21,1,11
2023-09-18 10:24:19,16,1,21,1,11
2023-09-18 10:24:21,16,1,21,1,11
2023-09-18 10:24:23,16,1,21,1,11
2023-09-18 10:24:25,16,1,21,1,11
2023-09-18 10:24:27,16,1,21,1,11
2023-09-18 10:24:29,16,1,21,1,11
2023-09-18 10:24:31,16,1,21,1,11
2023-09-18 10:24:34,16,1,21,1,11
2023-09-18 10:24:36,16,1,21,1,11
2023-09-18 10:24:38,16,1,21,1,11
2023-09-18 10:24:40,16,1,21,1,11
2023-09-18 10:24:43,16,1,21,1,11
2023-09-18 10:24:45,16,1,21,1,11
2023-09-18 10:24:47,16,1,21,1,11
2023-09-18 10:24:49,16,1,21,1,11
2023-09-18 10:24:51,16,1,21,1,11
2023-09-18 10:24:53,16,1,21,1,11
2023-09-18 10:24:55,16,1,21,1,11
2023-09-18 10:24:57,16,1,21,1,11
2023-09-18 10:24:59,16,1,21,1,11
2023-09-18 10:25:01,16,1,21,1,11
2023-09-18 10:25:02,16,1,21,1,11
2023-09-18 10:25:04,16,1,21,1,11
2023-09-18 10:25:06,16,1,21,1,11
2023-09-18 10:25:08,16,1,21,1,11
2023-09-18 10:25:10,16,1,21,1,11
2023-09-18 10:25:12,16,1,21,1,11
2023-09-18 10:25:14,16,1,21,1,11
2023-09-18 10:25:16,16,1,21,1,11
2023-09-18 10:25:18,16,1,21,1,11
2023-09-18 10:25:20,16,1,21,1,11
2023-09-18 10:25:22,16,1,21,1,11
2023-09-18 10:25:24,16,1,21,1,11
2023-09-18 10:25:26,16,1,21,1,11
2023-09-18 10:25:28,16,1,21,1,11
2023-09-18 10:25:29,16,1,21,1,11
2023-09-18 10:25:31,16,1,21,1,11
2023-09-18 10:25:33,16,1,21,1,11
2023-09-18 10:25:35,16,1,21,1,11
2023-09-18 10:25:36,16,1,21,1,11
2023-09-18 10:25:39,16,1,21,1,11
2023-09-18 10:25:41,16,1,21,1,11
2023-09-18 10:25:42,16,1,21,1,11
2023-09-18 10:25:44,16,1,21,1,11
2023-09-18 10:25:46,16,1,21,1,11
2023-09-18 10:25:48,16,1,21,1,11
2023-09-18 10:25:49,16,1,21,1,11
2023-09-18 10:25:51,16,1,21,1,11
2023-09-18 10:25:53,16,1,21,1,11
2023-09-18 10:25:55,16,1,21,1,11
2023-09-18 10:25:57,16,1,21,1,11
2023-09-18 10:25:59,16,1,21,1,11
2023-09-18 10:26:01,16,1,21,1,11
2023-09-18 10:26:03,16,1,21,1,11
2023-09-18 10:26:05,16,1,21,1,11
2023-09-18 10:26:07,16,1,21,1,11
2023-09-18 10:26:09,16,1,21,1,11
2023-09-18 10:26:11,16,1,21,1,11
2023-09-18 10:26:13,16,1,21,1,11
2023-09-18 10:26:15,16,1,21,1,11
2023-09-18 10:26:17,16,1,21,1,11
2023-09-18 10:26:18,16,1,21,1,11
2023-09-18 10:26:20,16,1,21,1,11
2023-09-18 10:26:23,16,1,21,1,11
2023-09-18 10:26:25,16,1,21,1,11
2023-09-18 10:26:27,16,1,21,1,11
2023-09-18 10:26:29,16,1,21,1,11
2023-09-18 10:26:31,16,1,21,1,11
2023-09-18 10:26:33,16,1,21,1,11
2023-09-18 10:26:34,16,1,21,1,11
2023-09-18 10:26:36,16,1,21,1,11
2023-09-18 10:26:38,16,1,21,1,11
2023-09-18 10:26:40,16,1,21,1,11
2023-09-18 10:26:41,16,1,21,1,11
2023-09-18 10:26:43,16,1,21,1,11
2023-09-18 10:26:45,16,1,21,1,11
2023-09-18 10:26:47,16,1,21,1,11
2023-09-18 10:26:49,16,1,21,1,11
2023-09-18 10:26:51,16,1,21,1,11
2023-09-18 10:26:53,16,1,21,1,11
2023-09-18 10:26:55,16,1,21,1,11
2023-09-18 10:26:57,16,1,21,1,11
2023-09-18 10:26:59,16,1,21,1,11
2023-09-18 10:27:00,16,1,21,1,11
2023-09-18 10:27:02,16,1,21,1,11
2023-09-18 10:27:04,16,1,21,1,11
2023-09-18 10:27:06,16,1,21,1,11
2023-09-18 10:27:08,16,1,21,1,11
2023-09-18 10:27:09,16,1,21,1,11
2023-09-18 10:27:11,16,1,21,1,11
2023-09-18 10:27:13,16,1,21,1,11
2023-09-18 10:27:14,16,1,21,1,11
2023-09-18 10:27:16,16,1,21,1,11
2023-09-18 10:27:18,16,1,21,1,11
2023-09-18 10:27:20,16,1,21,1,11
2023-09-18 10:27:22,16,1,21,1,11
2023-09-18 10:27:24,16,1,21,1,11
2023-09-18 10:27:26,16,1,21,1,11
2023-09-18 10:27:28,16,1,21,1,11
2023-09-18 10:27:30,16,1,21,1,11
2023-09-18 10:27:32,16,1,21,1,11
2023-09-18 10:27:34,16,1,21,1,11
2023-09-18 10:27:36,16,1,21,1,11
2023-09-18 10:27:38,16,1,21,1,11
2023-09-18 10:27:39,16,1,21,1,11
2023-09-18 10:27:41,16,1,21,1,11
2023-09-18 10:27:43,16,1,21,1,11
2023-09-18 10:27:45,16,1,21,1,11
2023-09-18 10:27:47,16,1,21,1,11
2023-09-18 10:27:49,16,1,21,1,11
2023-09-18 10:27:51,16,1,21,1,11
2023-09-18 10:27:53,16,1,21,1,11
2023-09-18 10:27:55,16,1,21,1,11
2023-09-18 10:27:57,16,1,21,1,11
2023-09-18 10:27:59,16,1,21,1,11
2023-09-18 10:28:01,16,1,21,1,11
2023-09-18 10:28:03,16,1,21,1,11
2023-09-18 10:28:06,16,1,21,1,11
2023-09-18 10:28:08,16,1,21,1,11
2023-09-18 10:28:10,16,1,21,1,11
2023-09-18 10:28:12,16,1,21,1,11
