"Time","Toff_arr(1)","Toff_avg","M2_stp_alg"
2023-09-18 10:17:45,120,0,5
2023-09-18 10:17:46,,,
2023-09-18 10:17:47,122,0,5
2023-09-18 10:17:48,,,
2023-09-18 10:17:49,124,0,5
2023-09-18 10:17:50,,,
2023-09-18 10:17:51,126,0,5
2023-09-18 10:17:52,,,
2023-09-18 10:17:53,127,0,5
2023-09-18 10:17:54,,,
2023-09-18 10:17:55,128,0,5
2023-09-18 10:17:56,,,
2023-09-18 10:17:57,130,0,5
2023-09-18 10:17:58,132,0,5
2023-09-18 10:17:59,,,
2023-09-18 10:18:00,132,0,5
2023-09-18 10:18:01,134,0,5
2023-09-18 10:18:02,,,
2023-09-18 10:18:03,135,0,5
2023-09-18 10:18:04,,,
2023-09-18 10:18:05,137,0,5
2023-09-18 10:18:06,,,
2023-09-18 10:18:07,138,0,5
2023-09-18 10:18:08,140,0,5
2023-09-18 10:18:09,,,
2023-09-18 10:18:10,141,0,5
2023-09-18 10:18:11,,,
2023-09-18 10:18:12,142,0,5
2023-09-18 10:18:13,,,
2023-09-18 10:18:14,144,0,5
2023-09-18 10:18:15,,,
2023-09-18 10:18:16,146,0,5
2023-09-18 10:18:17,147,0,5
2023-09-18 10:18:18,,,
2023-09-18 10:18:19,149,0,5
2023-09-18 10:18:20,,,
2023-09-18 10:18:21,150,0,5
2023-09-18 10:18:22,151,0,5
2023-09-18 10:18:23,,,
2023-09-18 10:18:24,153,0,5
2023-09-18 10:18:25,,,
2023-09-18 10:18:26,155,0,5
2023-09-18 10:18:27,,,
2023-09-18 10:18:28,156,0,5
2023-09-18 10:18:29,157,0,5
2023-09-18 10:18:30,,,
2023-09-18 10:18:31,159,0,5
2023-09-18 10:18:32,,,
2023-09-18 10:18:33,160,0,5
2023-09-18 10:18:34,161,0,5
2023-09-18 10:18:35,,,
2023-09-18 10:18:36,163,0,5
2023-09-18 10:18:37,,,
2023-09-18 10:18:38,165,0,5
2023-09-18 10:18:39,165,0,5
2023-09-18 10:18:40,,,
2023-09-18 10:18:41,167,0,5
2023-09-18 10:18:42,,,
2023-09-18 10:18:43,169,0,5
2023-09-18 10:18:44,170,0,5
2023-09-18 10:18:45,,,
2023-09-18 10:18:46,172,0,5
2023-09-18 10:18:47,172,0,5
2023-09-18 10:18:48,,,
2023-09-18 10:18:49,174,0,5
2023-09-18 10:18:50,,,
2023-09-18 10:18:51,175,0,5
2023-09-18 10:18:52,177,0,5
2023-09-18 10:18:53,,,
2023-09-18 10:18:54,177,0,5
2023-09-18 10:18:55,179,0,5
2023-09-18 10:18:56,,,
2023-09-18 10:18:57,180,0,5
2023-09-18 10:18:58,,,
2023-09-18 10:18:59,182,0,5
2023-09-18 10:19:00,,,
2023-09-18 10:19:01,183,0,5
2023-09-18 10:19:02,,,
2023-09-18 10:19:03,185,0,5
2023-09-18 10:19:04,,,
2023-09-18 10:19:05,187,0,5
